cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
204	3	16401	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
205	3	32785	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
206	3	65553	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
207	3	97	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
208	3	161	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
209	3	289	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
210	3	545	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
211	3	1057	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
212	3	2081	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
213	3	4129	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
214	3	8225	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
215	3	16417	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
216	3	32801	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
217	3	65569	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
218	3	193	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
219	3	321	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
220	3	577	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
221	3	1089	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
222	3	2113	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
223	3	4161	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
224	3	8257	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
225	3	16449	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
226	3	32833	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
227	3	65601	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
228	3	385	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
229	3	641	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
230	3	1153	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
231	3	2177	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
232	3	4225	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
233	3	8321	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
234	3	16513	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
235	3	32897	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
236	3	65665	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
237	3	769	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
238	3	1281	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
